,year,selling_price,km_driven,fuel_type,Type_of_Seller,Transmit,Owner_Type,brand_name,model_name
0,2007,60000,70000,4,1,1,0,18,6
1,2007,135000,50000,4,1,1,0,18,164
2,2012,600000,100000,1,1,1,0,10,161
3,2017,250000,46000,4,1,1,0,5,125
4,2014,450000,141000,1,1,1,2,9,17
5,2007,140000,125000,4,1,1,0,18,14
6,2016,550000,25000,4,1,1,0,10,175
7,2014,240000,60000,4,1,1,2,25,83
8,2015,850000,25000,4,1,1,0,10,44
9,2017,365000,78000,0,1,1,0,18,37
10,2015,260000,35000,4,1,1,0,3,134
11,2014,250000,100000,4,1,1,0,25,83
12,2018,1650000,25000,4,0,0,0,26,43
26,2015,585000,24000,4,0,1,0,18,38
27,2019,1195000,5000,1,0,1,0,10,159
28,2013,390000,33000,1,1,1,2,3,57
29,2014,1964999,28000,1,0,0,0,12,171
30,2013,1425000,59000,1,0,0,0,19,104
31,2018,975000,4500,1,0,0,0,18,162
32,2011,1190000,175900,1,0,0,0,1,119
33,2018,930000,14500,4,0,1,0,9,39
34,2018,525000,15000,4,1,1,0,25,153
35,2013,1735000,50000,1,0,0,0,1,10
36,2012,1375000,33800,1,0,0,2,19,104
37,2011,450000,130400,1,0,0,2,24,145
38,2016,900000,50000,4,1,0,0,26,43
39,2015,1300000,80000,1,1,1,0,26,85
40,2019,1400000,10000,4,1,1,0,13,42
41,2010,850000,119000,4,0,0,0,19,49
42,2014,229999,60000,4,1,1,1,10,182
43,2013,1550000,75800,1,0,0,2,2,2
44,2009,1250000,78000,1,0,0,4,1,120
45,2012,625000,40000,1,1,1,0,10,54
46,2014,1050000,50000,1,1,1,0,17,138
47,2014,560000,74000,1,1,1,2,9,39
48,2014,290000,64000,4,1,1,2,18,164
49,2012,275000,60000,4,1,1,2,18,164
50,2009,411000,120000,1,1,1,2,17,138
51,2009,150000,79000,4,1,1,4,10,136
52,2019,500000,15000,4,1,1,0,10,74
53,2006,100000,80000,4,1,1,0,18,14
54,2017,725000,18500,1,0,1,0,18,147
55,2018,401000,10200,4,0,1,0,18,53
56,2018,750000,29000,1,0,1,0,10,183
57,2018,310000,28000,4,0,1,0,18,108
58,2016,665000,46000,1,0,1,0,18,147
59,2014,465000,70000,1,0,1,0,10,183
60,2012,160000,60000,4,1,1,2,18,14
61,1996,250000,35000,1,1,1,2,17,87
62,2014,675000,90000,1,0,1,0,9,39
63,2013,300000,80000,4,0,1,0,18,164
64,2005,70000,80000,1,1,1,0,25,82
65,2014,240000,73300,4,0,1,2,10,50
66,2014,525000,92000,1,0,1,0,26,61
67,2009,151000,66764,4,0,1,2,18,14
68,2009,140000,100000,4,1,1,0,18,14
69,2010,280000,350000,1,1,1,2,3,149
70,2011,350000,230000,1,1,1,0,26,43
71,2017,570000,60000,1,1,1,0,17,138
72,2018,300000,31000,4,1,1,0,10,50
73,2007,100000,39000,1,1,1,0,25,83
74,2009,500000,120000,1,1,1,4,26,85
75,2014,125000,166000,1,1,1,1,25,82
76,2006,130000,110000,4,1,1,4,18,147
77,2017,925000,35000,1,1,1,0,8,51
78,2018,750000,60000,1,1,1,0,18,38
79,2007,200000,54000,4,1,0,2,9,40
80,2010,248000,63000,4,1,1,2,10,182
81,2014,450000,120000,1,1,1,2,24,124
82,2005,80000,120000,4,1,1,4,10,73
83,2014,650000,76000,4,1,1,2,21,150
84,2015,450000,80000,1,1,1,0,10,74
85,2019,650000,25000,1,1,1,0,10,55
86,2016,495000,11958,4,0,1,0,9,17
87,2015,371000,20000,4,0,1,0,9,30
88,2017,1025000,9000,4,0,1,0,10,44
